Price,Baths,Land size,Beds,House size,Seller_type,town,district
18500000,1,1.5,2,600,Premium-Member,Kandy City,Kandy
29500000,4,13,6,3800,Premium-Member,Kottawa,Colombo
65000000,7,26,8,6000,Premium-Member,Moratuwa,Colombo
39000000,5,13.98,5,4300,Premium-Member,Piliyandala,Colombo
25000000,3,10,3,2200,Premium-Member,Athurugiriya,Colombo
20500000,3,6.5,3,2000,Premium-Member,Athurugiriya,Colombo
14500000,3,6,3,1200,Premium-Member,Athurugiriya,Colombo
21200000,3,6.25,4,2290,Premium-Member,Battaramulla,Colombo
17800000,3,6.5,3,1800,Premium-Member,Piliyandala,Colombo
16000000,1,20,5,4000,Premium-Member,Baddegama,Galle
19800000,2,8,4,1800,Premium-Member,Kotte,Colombo
25500000,3,13.5,5,2089,Member,Kandana,Gampaha
27500000,4,11.5,4,2800,Premium-Member,Malabe,Colombo
36000000,4,10,4,3600,Premium-Member,Malabe,Colombo
3900000,1,13,2,600,Premium-Member,Homagama,Colombo
25000000,2,23,3,2200,Premium-Member,Piliyandala,Colombo
7500000,1,10.3,3,1800,Member,Matara City,Matara
24800000,3,6.5,4,2800,Premium-Member,Piliyandala,Colombo
34000000,4,8.5,4,3500,Premium-Member,Piliyandala,Colombo
15000000,2,13.8,3,2500,Member,Kurunegala City,Kurunegala
70000000,2,20,4,4900,Premium-Member,Kadawatha,Gampaha
4000000,1,90,3,3500,Premium-Member,Nittambuwa,Gampaha
89000000,1,15,3,1500,Premium-Member,Homagama,Colombo
12500000,2,10,3,1540,Premium-Member,Homagama,Colombo
19000000,3,11.4,4,1900,Premium-Member,Malabe,Colombo
79500000,1,7,3,1100,Premium-Member,Homagama,Colombo
12000000,1,20,3,1650,Premium-Member,Homagama,Colombo
14200000,2,7.86,3,1100,Premium-Member,Malabe,Colombo
7500000,1,11.6,3,3158,Member,Homagama,Colombo
5500000,1,15,2,4000,Premium-Member,Nittambuwa,Gampaha
36400000,1,280,3,3500,Premium-Member,Nittambuwa,Gampaha
24500000,3,15,6,3500,Member,Kurunegala City,Kurunegala
49000000,2,31,4,1900,Premium-Member,Ragama,Gampaha
16800000,2,12.05,4,2750,Premium-Member,Ja-Ela,Gampaha
21000000,3,10.6,3,1795,Premium-Member,Piliyandala,Colombo
28000000,5,112,5,2900,Member,Chilaw,Puttalam
16500000,2,7.4,3,1300,Member,Kottawa,Colombo
16000000,2,22,3,2500,Member,Gampaha City,Gampaha
65000000,3,20,5,3000,Premium-Member,Homagama,Colombo
12000000,1,10.5,3,1300,Premium-Member,Homagama,Colombo
7800000,1,11.5,2,1200,Member,Padukka,Colombo
36000000,4,8.5,4,2900,Premium-Member,Piliyandala,Colombo
27500000,5,7.5,5,2300,Premium-Member,Piliyandala,Colombo
13000000,2,15,4,5000,Premium-Member,Nittambuwa,Gampaha
35500000,5,8,4,4500,Premium-Member,Malabe,Colombo
22500000,3,10,5,3514,Premium-Member,Piliyandala,Colombo
5750000,1,7,2,3500,Premium-Member,Kadawatha,Gampaha
11000000,1,7.5,2,1200,Premium-Member,Gampaha City,Gampaha
7500000,1,20,3,850,Member,Horana,Kalutara
70000000,4,20,5,5450,Member,Nugegoda,Colombo
24500000,3,10,5,3000,Premium-Member,Homagama,Colombo
20500000,3,6.5,3,1900,Premium-Member,Homagama,Colombo
24500000,2,7.42,4,1600,Member,Moratuwa,Colombo
29800000,4,6,5,3800,Premium-Member,Homagama,Colombo
28000000,3,15,4,4000,Premium-Member,Homagama,Colombo
12900000,2,13.5,2,4000,Premium-Member,Nittambuwa,Gampaha
29500000,3,16.5,3,1200,Premium-Member,Malabe,Colombo
35000000,4,8,5,3600,Premium-Member,Malabe,Colombo
26500000,2,7,3,1250,Premium-Member,Malabe,Colombo
15500000,1,6.8,3,2000,Premium-Member,Malabe,Colombo
16000000,2,10.5,3,1400,Premium-Member,Malabe,Colombo
17000000,2,7.5,3,1300,Premium-Member,Malabe,Colombo
32000000,2,6,6,2000,Member,Wellampitiya,Colombo
1600000,1,40,1,1200,Member,Monaragala City,Monaragala
120000000,2,20,3,3000,Premium-Member,Colombo 5,Colombo
1450000,3,26,4,1800,Premium-Member,Kaduwela,Colombo
220000000,3,10.1,4,2750,Premium-Member,Colombo 3,Colombo
45000000,3,7,5,3500,Member,Kohuwala,Colombo
70000000,6,17,5,7240,Premium-Member,Talawatugoda,Colombo
25500000,3,7.5,4,2550,Premium-Member,Piliyandala,Colombo
33500000,4,16.2,6,3600,Premium-Member,Kottawa,Colombo
14500000,2,6.8,2,900,Premium-Member,Pannipitiya,Colombo
27000000,3,7,4,2400,Premium-Member,Kottawa,Colombo
24800000,3,6,4,2400,Premium-Member,Piliyandala,Colombo
65000,2,12,3,1800,Member,Nugegoda,Colombo
28500000,4,15,4,3000,Premium-Member,Piliyandala,Colombo
21500000,4,9.5,4,2300,Premium-Member,Piliyandala,Colombo
36000000,3,10,4,3500,Member,Kandana,Gampaha
27000000,3,7.5,5,2700,Premium-Member,Piliyandala,Colombo
41000000,3,6,4,1644,Premium-Member,Kolonnawa,Colombo
26000000,3,7,4,2400,Premium-Member,Piliyandala,Colombo
16500000,3,24.8,4,3000,Premium-Member,Matugama,Kalutara
40000000,2,7,3,3300,Premium-Member,Talawatugoda,Colombo
16000000,2,17,4,2000,Premium-Member,Athurugiriya,Colombo
22000000,2,15.4,4,3000,Premium-Member,Piliyandala,Colombo
30500000,4,8,4,3500,Premium-Member,Piliyandala,Colombo
21500000,2,9.3,3,2000,Premium-Member,Piliyandala,Colombo
13500000,2,10,4,2400,Premium-Member,Ganemulla,Gampaha
40000000,3,7.8,6,3000,Premium-Member,Colombo 6,Colombo
45000000,3,9.9,5,2650,Premium-Member,Rajagiriya,Colombo
45000000,3,9.33,5,3100,Member,Kotte,Colombo
18500000,2,10,3,1200,Premium-Member,Piliyandala,Colombo
24800000,3,6.5,4,2800,Premium-Member,Piliyandala,Colombo
40000000,4,10,4,3100,Premium-Member,Piliyandala,Colombo
26500000,3,10.5,4,3152,Premium-Member,Negombo,Gampaha
27500000,2,126,5,5500,Premium-Member,Dikwella,Matara
23500000,3,7,5,3250,Premium-Member,Piliyandala,Colombo
10500000,1,6,2,1600,Member,Angoda,Colombo
12000000,2,10,3,1325,Premium-Member,Horana,Kalutara
14000000,3,12,3,1200,Premium-Member,Piliyandala,Colombo
19500000,3,6.5,4,2000,Premium-Member,Piliyandala,Colombo
21000000,2,10,5,2419,Member,Delgoda,Gampaha
8000000,2,10.05,4,2400,Premium-Member,Kadawatha,Gampaha
23800000,2,6.5,3,1356,Premium-Member,Piliyandala,Colombo
30500000,4,8,5,3700,Premium-Member,Piliyandala,Colombo
25500000,5,7,4,2500,Premium-Member,Piliyandala,Colombo
46500000,4,28,4,3850,Premium-Member,Piliyandala,Colombo
33000000,4,10,4,3850,Premium-Member,Piliyandala,Colombo
12000000,1,10,3,1500,Premium-Member,Karapitiya,Galle
9900000,1,10,3,1425,Premium-Member,Negombo,Gampaha
3990000,1,45,3,2500,Member,Kandy City,Kandy
49500000,4,10,4,4200,Premium-Member,Talawatugoda,Colombo
40000000,2,7,3,3300,Premium-Member,Talawatugoda,Colombo
13000000,1,10,3,1500,Premium-Member,Karapitiya,Galle
13800000,1,23,2,1000,Premium-Member,Karapitiya,Galle
110000000,3,50,4,3000,Premium-Member,Talawatugoda,Colombo
4800000,1,10.5,1,800,Member,Homagama,Colombo
20000000,2,7,4,1700,Premium-Member,Angoda,Colombo
47500000,4,14.8,5,3800,Premium-Member,Talawatugoda,Colombo
44000000,4,7.7,4,3300,Premium-Member,Talawatugoda,Colombo
9500000,2,7,4,1544,Member,Matara City,Matara
60000000,4,15,4,4000,Premium-Member,Talawatugoda,Colombo
23500000,2,149,4,2500,Premium-Member,Negombo,Gampaha
42500000,5,13.5,8,5000,Premium-Member,Nugegoda,Colombo
63000000,6,12,6,4000,Premium-Member,Nugegoda,Colombo
15400000,3,8,3,1300,Member,Athurugiriya,Colombo
5500000,2,20,3,4500,Premium-Member,Negombo,Gampaha
68000000,4,11,5,5000,Premium-Member,Nugegoda,Colombo
4600000,1,22,3,1820,Member,Gampaha City,Gampaha
47500000,4,7,4,3800,Premium-Member,Nugegoda,Colombo
15500000,5,27,6,7100,Premium-Member,Nugegoda,Colombo
26500000,3,6.5,4,2800,Premium-Member,Malabe,Colombo
36000000,4,10,4,3200,Premium-Member,Malabe,Colombo
65000000,4,12.5,5,4000,Premium-Member,Malabe,Colombo
135000000,5,62,5,5600,Premium-Member,Malabe,Colombo
45000000,3,10,4,3200,Premium-Member,Malabe,Colombo
37500000,3,9,5,3100,Premium-Member,Malabe,Colombo
48000000,3,10.12,4,2675,Premium-Member,Malabe,Colombo
29500000,4,11,5,2850,Premium-Member,Athurugiriya,Colombo
27000000,4,7,4,3250,Premium-Member,Piliyandala,Colombo
18500000,3,7.5,3,1500,Premium-Member,Malabe,Colombo
95000000,4,10,4,3200,Premium-Member,Kotte,Colombo
26500000,3,6.5,4,2200,Premium-Member,Malabe,Colombo
8700000,2,10,3,1400,Member,Homagama,Colombo
25000000,4,10,4,2380,Premium-Member,Kottawa,Colombo
60000000,4,13,4,3500,Premium-Member,Kotte,Colombo
80000000,4,16,4,4900,Premium-Member,Kotte,Colombo
33000000,4,8,4,3000,Premium-Member,Kottawa,Colombo
15000000,3,10,3,1400,Premium-Member,Athurugiriya,Colombo
33000000,4,8,4,3000,Premium-Member,Kottawa,Colombo
6800000,2,3.5,2,1000,Premium-Member,Wellampitiya,Colombo
9000000,2,15,4,1850,Premium-Member,Gampaha City,Gampaha
8700000,2,10,3,1200,Premium-Member,Wadduwa,Kalutara
29500000,3,8,4,4000,Premium-Member,Kottawa,Colombo
30000000,2,8.8,2,1250,Premium-Member,Ratmalana,Colombo
55000000,2,11,4,3300,Premium-Member,Battaramulla,Colombo
65000000,3,10,5,4000,Premium-Member,Battaramulla,Colombo
14000000,2,10,3,1350,Premium-Member,Malabe,Colombo
85000000,4,16,4,3500,Premium-Member,Battaramulla,Colombo
50000000,7,18,10,5000,Premium-Member,Karapitiya,Galle
115000000,4,22,5,4800,Premium-Member,Talawatugoda,Colombo
45000000,4,7,4,3800,Premium-Member,Battaramulla,Colombo
115000000,4,22,5,4500,Premium-Member,Battaramulla,Colombo
85000000,4,12,4,5500,Premium-Member,Talawatugoda,Colombo
12000000,2,11,4,1700,Member,Ruwanwella,Kegalle
13500000,2,12.5,3,1450,Member,Kandana,Gampaha
170000000,7,24,6,1400,Premium-Member,Talawatugoda,Colombo
18500000,1,20,4,2344,Premium-Member,Kadawatha,Gampaha
75000000,4,14,5,4000,Premium-Member,Battaramulla,Colombo
18000000,3,8,3,1400,Premium-Member,Athurugiriya,Colombo
12000000,3,12,3,1825,Member,Homagama,Colombo
21500000,4,12,4,2500,Premium-Member,Piliyandala,Colombo
24800000,4,6.5,4,2500,Premium-Member,Piliyandala,Colombo
7500000,1,5.25,3,1200,Premium-Member,Kadawatha,Gampaha
13500000,3,16.5,5,3000,Member,Matara City,Matara
8000000,1,7,3,1200,Member,Kadawatha,Gampaha
17000000,5,26,5,10000,Premium-Member,Colombo 7,Colombo
6500000,1,10,3,1500,Premium-Member,Karapitiya,Galle
8500000,2,18.9,4,4500,Member,Kalutara City,Kalutara
28000000,2,10.5,4,2000,Premium-Member,Battaramulla,Colombo
50000000,4,10,5,3800,Premium-Member,Talawatugoda,Colombo
5500000,1,6,4,1541,Premium-Member,Yatiyantota,Kegalle
12800000,2,6.5,3,1500,Premium-Member,Piliyandala,Colombo
29500000,4,8,4,3200,Premium-Member,Piliyandala,Colombo
150000000,4,6.64,4,4000,Member,Colombo 4,Colombo
47000000,4,11.7,5,3050,Premium-Member,Battaramulla,Colombo
28000000,4,10,4,2800,Premium-Member,Malabe,Colombo
29000000,4,10.5,4,2600,Premium-Member,Malabe,Colombo
16000000,2,16.75,5,2800,Premium-Member,Nittambuwa,Gampaha
110000000,3,50.2,4,3000,Premium-Member,Talawatugoda,Colombo
29500000,4,7.5,5,2250,Premium-Member,Piliyandala,Colombo
49500000,5,14,6,4000,Premium-Member,Piliyandala,Colombo
3000000,1,,3,1594.95,Member,Dambulla,Matale
53000000,4,16,4,3000,Premium-Member,Talawatugoda,Colombo
15000000,2,7.5,4,2400,Premium-Member,Negombo,Gampaha
25500000,5,7,4,3200,Premium-Member,Piliyandala,Colombo
27500000,4,8.5,5,3500,Premium-Member,Piliyandala,Colombo
7600000,1,8.5,3,1300,Member,Gampaha City,Gampaha
27000000,3,19,4,3200,Premium-Member,Piliyandala,Colombo
20000000,3,20,6,3025,Premium-Member,Moratuwa,Colombo
4250000,1,25,3,1500,Member,Minuwangoda,Gampaha
25000000,5,23,5,2855,Premium-Member,Moratuwa,Colombo
18000000,3,8,3,1400,Premium-Member,Athurugiriya,Colombo
12000000,2,14,3,2000,Premium-Member,Karapitiya,Galle
32000000,2,30,2,2000,Member,Homagama,Colombo
6800000,1,10,4,1400,Member,Ambalangoda,Galle
18500000,2,3,3,950,Premium-Member,Athurugiriya,Colombo
23000000,2,36,5,1800,Premium-Member,Negombo,Gampaha
16500000,2,7.5,3,1500,Premium-Member,Athurugiriya,Colombo
8500000,2,3,2,800,Premium-Member,Wellampitiya,Colombo
3800000,2,11,2,1500,Member,Gampaha City,Gampaha
4400000,2,0.75,1,400,Member,Colombo 9,Colombo
35000000,3,22,3,2300,Member,Weligama,Matara
42500000,5,13.2,8,5000,Premium-Member,Nugegoda,Colombo
55000000,4,11,4,3300,Premium-Member,Battaramulla,Colombo
8000000,1,3,2,800,Premium-Member,Wellampitiya,Colombo
29000000,4,10,4,2600,Premium-Member,Malabe,Colombo
28000000,4,10,4,2800,Premium-Member,Malabe,Colombo
15000000,3,10,3,1000,Premium-Member,Athurugiriya,Colombo
8500000,1,4,2,900,Premium-Member,Wellampitiya,Colombo
85000000,4,16,4,3500,Premium-Member,Battaramulla,Colombo
15000000,2,4,3,820,Premium-Member,Colombo 5,Colombo
47500000,7,6,7,4000,Member,Colombo 15,Colombo
15000000,2,5,3,1000,Premium-Member,Wellampitiya,Colombo
10500000,1,8,2,1200,Member,Matara City,Matara
23000000,4,7,4,2200,Premium-Member,Malabe,Colombo
49500000,4,10,4,4000,Premium-Member,Battaramulla,Colombo
24800000,3,6.5,4,2280,Premium-Member,Piliyandala,Colombo
48000000,5,80,5,1500,Premium-Member,Haputale,Badulla
22500000,3,6.3,4,2200,Premium-Member,Malabe,Colombo
21500000,3,9.5,3,3000,Premium-Member,Piliyandala,Colombo
6250000,1,40,4,1900,Member,Baddegama,Galle
35000000,3,11.5,4,3500,Member,Kandana,Gampaha
46500000,5,28,5,3500,Premium-Member,Piliyandala,Colombo
50000000,2,17.5,3,1700,Premium-Member,Rajagiriya,Colombo
7500000,1,13.5,3,2900,Member,Beliatta,Hambantota
14000000,2,10,3,1500,Premium-Member,Piliyandala,Colombo
37500000,2,12.85,4,3200,Premium-Member,Athurugiriya,Colombo
8000000,2,11,3,2538,Member,Kesbewa,Colombo
35000000,2,14,4,1700,Premium-Member,Wattala,Gampaha
8000000,1,9,2,1500,Member,Homagama,Colombo
24800000,3,6,4,2500,Premium-Member,Piliyandala,Colombo
40000000,2,7,3,3300,Premium-Member,Talawatugoda,Colombo
33000000,3,8,4,3000,Premium-Member,Kottawa,Colombo
28500000,4,8.5,4,3800,Premium-Member,Piliyandala,Colombo
26500000,3,10.5,4,3100,Premium-Member,Negombo,Gampaha
17800000,2,6,3,1800,Member,Kottawa,Colombo
105000000,3,50.17,4,3000,Premium-Member,Talawatugoda,Colombo
18500000,3,8,3,2200,Premium-Member,Piliyandala,Colombo
46000000,5,6,5,3000,Premium-Member,Dehiwala,Colombo
23000000,2,57,5,3500,Member,Wennappuwa,Puttalam
105000000,3,50.17,4,3000,Premium-Member,Talawatugoda,Colombo
30500000,4,8,4,3500,Premium-Member,Piliyandala,Colombo
34000000,4,8.5,4,3500,Premium-Member,Piliyandala,Colombo
36000000,3,10,4,3000,Premium-Member,Malabe,Colombo
14700000,2,6,4,1500,Member,Athurugiriya,Colombo
30500000,3,7.5,4,3250,Premium-Member,Piliyandala,Colombo
49500000,4,10,4,4000,Premium-Member,Talawatugoda,Colombo
44000000,5,12.5,6,6500,Premium-Member,Talawatugoda,Colombo
54800000,4,8.7,4,3200,Premium-Member,Battaramulla,Colombo
45000000,4,9.8,5,3200,Premium-Member,Talawatugoda,Colombo
45000000,4,11,5,3800,Premium-Member,Talawatugoda,Colombo
49500000,3,10.12,4,3000,Premium-Member,Malabe,Colombo
29500000,3,20,4,3500,Premium-Member,Negombo,Gampaha
8500000,2,12.5,3,2500,Member,Eheliyagoda,Ratnapura
45000000,4,11,5,3800,Premium-Member,Battaramulla,Colombo
36000000,3,7.8,4,3000,Premium-Member,Malabe,Colombo
48500000,4,14,6,3000,Premium-Member,Piliyandala,Colombo
22500000,2,18.4,3,1000,Member,Malabe,Colombo
33000000,4,9,4,3000,Premium-Member,Athurugiriya,Colombo
29500000,4,8,4,2880,Premium-Member,Kesbewa,Colombo
17300000,4,9,4,2900,Premium-Member,Athurugiriya,Colombo
47500000,4,12.34,4,5195,Premium-Member,Athurugiriya,Colombo
33500000,4,10,4,3200,Premium-Member,Talawatugoda,Colombo
19800000,3,6.3,3,1900,Premium-Member,Athurugiriya,Colombo
15800000,2,10,3,1600,Premium-Member,Homagama,Colombo
16500000,2,5,3,2000,Premium-Member,Kadawatha,Gampaha
47000000,5,14.7,4,4500,Premium-Member,Negombo,Gampaha
29000000,3,6.7,5,1800,Member,Boralesgamuwa,Colombo
55000000,4,11,4,3300,Premium-Member,Talawatugoda,Colombo
42500000,3,11,4,3300,Premium-Member,Talawatugoda,Colombo
26500000,2,9.5,4,2500,Premium-Member,Nugegoda,Colombo
23000000,3,4,4,1750,Member,Mount Lavinia,Colombo
29500000,3,20,4,2500,Premium-Member,Negombo,Gampaha
39000000,5,13.67,5,4628,Premium-Member,Moratuwa,Colombo
9900000,1,10,3,1350,Premium-Member,Negombo,Gampaha
32500000,2,12,3,1950,Premium-Member,Negombo,Gampaha
25500000,4,7.15,4,2611,Premium-Member,Piliyandala,Colombo
17000000,2,11,3,1550,Premium-Member,Negombo,Gampaha
15000000,1,10.5,2,1350,Premium-Member,Negombo,Gampaha
17000000,2,9,3,1300,Premium-Member,Athurugiriya,Colombo
19500000,3,15,3,2150,Premium-Member,Negombo,Gampaha
18000000,3,11,3,1600,Premium-Member,Piliyandala,Colombo
84500000,4,20,6,4500,Premium-Member,Dehiwala,Colombo
38500000,4,6.5,6,2750,Member,Dehiwala,Colombo
13500000,2,10,3,1500,Premium-Member,Negombo,Gampaha
21500000,4,9,4,2700,Premium-Member,Piliyandala,Colombo
14800000,1,6.8,3,1800,Member,Malabe,Colombo
5700000,2,10.7,4,1560,Member,Piliyandala,Colombo
27000000,4,7,4,3250,Premium-Member,Piliyandala,Colombo
18500000,3,10,3,1800,Member,Athurugiriya,Colombo
14000000,2,17.5,3,1800,Member,Peradeniya,Kandy
17800000,3,6,3,1615,Premium-Member,Piliyandala,Colombo
65000000,4,10,5,4000,Premium-Member,Malabe,Colombo
24000000,8,11,7,4000,Premium-Member,Piliyandala,Colombo
18000000,1,8.08,3,1085,Member,Digana,Kandy
15800000,3,10.5,5,2000,Premium-Member,Mount Lavinia,Colombo
49500000,4,10,4,4200,Premium-Member,Kottawa,Colombo
290000000,8,30,8,9000,Premium-Member,Battaramulla,Colombo
55000000,2,14,6,3768,Member,Gampola,Kandy
34000000,4,9,4,3140,Premium-Member,Piliyandala,Colombo
33000000,4,10,4,3310,Premium-Member,Piliyandala,Colombo
36700000,5,11.5,5,3985,Premium-Member,Piliyandala,Colombo
18000000,3,11,3,1645,Premium-Member,Piliyandala,Colombo
24800000,4,6,4,2874,Premium-Member,Piliyandala,Colombo
25500000,4,7,4,2784,Premium-Member,Piliyandala,Colombo
18500000,3,8,3,1574,Premium-Member,Piliyandala,Colombo
21500000,4,9,4,2874,Premium-Member,Piliyandala,Colombo
27000000,4,7,4,3142,Premium-Member,Piliyandala,Colombo
25500000,5,7.5,4,2964,Premium-Member,Piliyandala,Colombo
8500000,1,6,2,1000,Premium-Member,Boralesgamuwa,Colombo
23000000,3,7,3,2996,Premium-Member,Piliyandala,Colombo
8500000,1,13,2,925,Member,Ja-Ela,Gampaha
9500000,1,10,3,1500,Member,Homagama,Colombo
22499999,2,8,4,3949,Member,Kandana,Gampaha
31000000,4,8,4,2880,Premium-Member,Piliyandala,Colombo
27000000,4,7,4,2900,Premium-Member,Piliyandala,Colombo
7300000,2,10,3,1000,Member,Homagama,Colombo
17000000,2,10,4,1500,Member,Kelaniya,Gampaha
31000000,1,23.74,3,6670,Member,Wattala,Gampaha
100000000,4,10,4,4800,Premium-Member,Rajagiriya,Colombo
27000000,4,7,4,2900,Premium-Member,Kottawa,Colombo
9800000,1,20,5,1800,Premium-Member,Mawathagama,Kurunegala
3000000,6,18.5,6,5000,Premium-Member,Anuradhapura City,Anuradhapura
950000,1,32,3,12000,Member,Ratnapura City,Ratnapura
12800000,1,15,3,1500,Premium-Member,Kadawatha,Gampaha
57500000,4,7.1,5,3600,Premium-Member,Dehiwala,Colombo
182750000,3,21.5,5,6000,Premium-Member,Colombo 6,Colombo
14000000,2,8.19,2,2000,Premium-Member,Boralesgamuwa,Colombo
290000000,8,30,8,9000,Premium-Member,Battaramulla,Colombo
8500000,2,4.9,1,700,Member,Ratmalana,Colombo
40000000,4,18.5,7,3500,Premium-Member,Panadura,Kalutara
39000000,4,12.9,5,5000,Member,Gampaha City,Gampaha
36000000,3,7.8,4,3600,Premium-Member,Malabe,Colombo
44000000,5,12.5,6,6500,Premium-Member,Talawatugoda,Colombo
26500000,3,10.5,4,3159,Premium-Member,Negombo,Gampaha
8700000,2,10,3,1560,Premium-Member,Kalutara City,Kalutara
152000000,5,17,5,5000,Premium-Member,Nawala,Colombo
27500000,4,7.5,4,2875,Premium-Member,Piliyandala,Colombo
33000000,3,8,4,3000,Premium-Member,Talawatugoda,Colombo
24800000,4,6,4,2856,Premium-Member,Piliyandala,Colombo
29500000,3,13.5,4,3700,Member,Kelaniya,Gampaha
26500000,3,10.5,4,3150,Premium-Member,Negombo,Gampaha
29500000,3,20,4,2500,Premium-Member,Negombo,Gampaha
9900000,1,10,3,1325,Premium-Member,Negombo,Gampaha
19500000,2,12.5,3,1700,Premium-Member,Negombo,Gampaha
9000000,3,3,5,1500,Premium-Member,Wellampitiya,Colombo
25000000,1,41,2,2100,Member,Veyangoda,Gampaha
49500000,3,10.12,4,3000,Premium-Member,Malabe,Colombo
12000000,1,24,3,1000,Member,Ingiriya,Kalutara
170000000,6,8.8,6,5500,Premium-Member,Colombo 5,Colombo
55000000,6,11,6,4500,Premium-Member,Maharagama,Colombo
27000000,4,20,4,3000,Premium-Member,Athurugiriya,Colombo
100000000,3,51,4,4000,Premium-Member,Malabe,Colombo
115000000,4,22,5,4500,Premium-Member,Battaramulla,Colombo
70000000,1,20.5,3,3000,Premium-Member,Maharagama,Colombo
40000000,5,22,5,5000,Premium-Member,Anuradhapura City,Anuradhapura
22500000,3,15,4,3500,Member,Kundasale,Kandy
55000000,4,10,6,4500,Premium-Member,Nugegoda,Colombo
17000000,3,11.5,4,2300,Premium-Member,Talawatugoda,Colombo
25000000,1,,4,1500,Premium-Member,Deniyaya,Matara
40000000,2,7,3,3000,Premium-Member,Talawatugoda,Colombo
49500000,4,14,5,4580,Premium-Member,Piliyandala,Colombo
42500000,3,11,4,3300,Premium-Member,Talawatugoda,Colombo
50000000,4,10,5,3800,Premium-Member,Talawatugoda,Colombo
60000000,4,15,4,3000,Premium-Member,Talawatugoda,Colombo
55000000,4,11,4,3300,Premium-Member,Talawatugoda,Colombo
200000000,5,55,4,4700,Premium-Member,Battaramulla,Colombo
26500000,3,10.5,4,3100,Premium-Member,Negombo,Gampaha
30500000,4,8,4,3200,Premium-Member,Piliyandala,Colombo
17000000,2,12.8,3,1750,Premium-Member,Talawatugoda,Colombo
79000000,6,16,7,4500,Premium-Member,Battaramulla,Colombo
30000000,4,8,6,3000,Premium-Member,Boralesgamuwa,Colombo
44000000,5,12.8,6,6550,Premium-Member,Talawatugoda,Colombo
29500000,3,20,4,3500,Premium-Member,Negombo,Gampaha
58000000,3,28,5,2800,Member,Wattala,Gampaha
35000000,2,22.5,3,3500,Premium-Member,Negombo,Gampaha
43000000,4,10,5,3300,Member,Maharagama,Colombo
13500000,2,10,3,1500,Premium-Member,Negombo,Gampaha
26500000,3,10,4,3500,Premium-Member,Negombo,Gampaha
9900000,1,10,3,1425,Premium-Member,Negombo,Gampaha
11500000,2,16,3,2000,Member,Gampaha City,Gampaha
15000000,2,7.5,4,2150,Premium-Member,Negombo,Gampaha
45000000,4,8,4,3990,Premium-Member,Dehiwala,Colombo
12500000,2,5,3,1400,Premium-Member,Kadawatha,Gampaha
